record_id,symbol,date,year,body,vote_type,seq,iso3,country,vote
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,18,YUG,YUGOSLAVIA,A
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,3,CHL,CHILE,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,4,CHN,CHINA,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,5,DNK,DENMARK,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,6,EGY,EGYPT,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,7,FRA,FRANCE,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,8,GRC,GREECE,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,9,GTM,GUATEMALA,.
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,10,IND,INDIA,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,11,LBN,LEBANON,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,13,UKR,UKRAINIAN SSR,
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,14,SUN,USSR,.
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,15,GBR,UNITED KINGDOM,N
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,16,USA,UNITED STATES,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,17,URY,URUGUAY,Y
25059,E/CN.4/RES/B(VI),1950-05-10,1950,Commission on Human Rights,RECORDED,18,YUG,YUGOSLAVIA,N
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,N
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,3,CHL,CHILE,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,4,CHN,CHINA,A
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,5,EGY,EGYPT,Y
25045,E/CN.4/RESIPARAGRAPH3(VIII),1952-04-21,1952,Commission on Human Rights,RECORDED,6,FRA,FRANCE,N
