event_id,session,sr_symbol,meeting_no,meeting_date,kind,draft_symbol,symbol_source,as_amended,subject,result,stated_yes,stated_no,stated_abstain,n_yes,n_no,n_abstain,totals_match
73-SR50-1,73,A/C.3/73/SR.50,50,16 November 2018,draft,A/C.3/73/L.50,subject,0,draft resolution A/C.3/73/L.50,adopted,106,16,58,106,16,58,1
73-SR50-2,73,A/C.3/73/SR.50,50,16 November 2018,draft,A/C.3/73/L.51,subject,0,draft resolution A/C.3/73/L.51*,adopted,142,10,26,142,10,26,1
73-SR50-3,73,A/C.3/73/SR.50,50,16 November 2018,draft,A/C.3/73/L.17/Rev.1,subject,0,draft resolution A/C.3/73/L.17/Rev.1,adopted,181,2,0,181,2,0,1
73-SR51-1,73,A/C.3/73/SR.51,51,16 November 2018,amendment,A/C.3/73/L.7/Rev.1,subject,0,the proposed amendment to draft resolution A/C.3/73/L.7/Rev.1 contained in document A/C.3/73/L.60,rejected,19,101,34,19,101,34,1
73-SR51-2,73,A/C.3/73/SR.51,51,16 November 2018,draft,A/C.3/73/L.52/Rev.1,subject,0,draft resolution A/C.3/73/L.52/Rev.1,adopted,128,10,42,128,10,42,1
73-SR51-3,73,A/C.3/73/SR.51,51,16 November 2018,draft,A/C.3/73/L.31/Rev.1,subject,0,draft resolution A/C.3/73/L.31/Rev.1,adopted,141,10,33,141,10,33,1
73-SR51-4,73,A/C.3/73/SR.51,51,16 November 2018,draft,A/C.3/73/L.36/Rev.1,subject,0,draft resolution A/C.3/73/L.36/Rev.1,adopted,179,2,0,179,2,0,1
73-SR52-1,73,A/C.3/73/SR.52,52,19 November 2018,amendment,A/C.3/73/L.21/Rev.1,subject,0,the oral amendment proposed by the United States to paragraph 8 (d) of draft resolution A/C.3/73/L.21/Rev.1,rejected,44,88,25,44,88,25,1
73-SR52-2,73,A/C.3/73/SR.52,52,19 November 2018,amendment,A/C.3/73/L.21/Rev.1,subject,0,the oral amendment proposed by the United States to delete paragraph 11 of draft resolution A/C.3/73/L.21/Rev.1,rejected,30,98,30,30,98,30,1
73-SR53-1,73,A/C.3/73/SR.53,53,19 November 2018,draft,A/C.3/73/L.30,subject,0,draft resolution A/C.3/73/L.30,adopted,119,7,49,119,7,49,1
73-SR53-2,73,A/C.3/73/SR.53,53,19 November 2018,amendment,A/C.3/73/L.39/Rev.1,corrected,0,the proposed amendment to draft resolution A/C.3/71/L.39/Rev.1 contained in document A/C.3/73/L.62,rejected,21,103,34,21,103,34,1
73-SR53-3,73,A/C.3/73/SR.53,53,19 November 2018,amendment,A/C.3/73/L.39/Rev.1,corrected,0,the proposed amendment to draft resolution A/C.3/71/L.39/Rev.1 contained in document A/C.3/73/L.63,rejected,20,99,38,20,99,38,1
73-SR53-4,73,A/C.3/73/SR.53,53,19 November 2018,amendment,A/C.3/73/L.65,subject,0,the amendment contained in document A/C.3/73/L.65,rejected,50,86,25,50,86,25,1
73-SR54-1,73,A/C.3/73/SR.54,54,20 November 2018,draft,A/C.3/73/L.39/Rev.1,subject,0,"draft resolution HYPERLINK ""https://undocs.org/A/C.3/73/L.39/Rev.1"" A/C.3/73/L.39/Rev.1",adopted,110,0,67,110,0,67,1
73-SR54-2,73,A/C.3/73/SR.54,54,20 November 2018,draft,A/C.3/73/L.41/Rev.1,subject,0,A/C.3/73/L.41/Rev.1,adopted,143,0,38,143,0,38,1
73-SR54-3,73,A/C.3/73/SR.54,54,20 November 2018,amendment,A/C.3/73/L.43/Rev.1,context,0,the oral amendment proposed by the representative of the United States to delete paragraph 14,rejected,3,116,28,3,116,28,1
73-SR54-4,73,A/C.3/73/SR.54,54,20 November 2018,amendment,A/C.3/73/L.43/Rev.1,context,0,the oral amendment proposed by the representative of the Russian Federation,rejected,23,80,35,23,80,35,1
73-SR55-1,73,A/C.3/73/SR.55,55,20 November 2018,amendment,A/C.3/73/L.61,subject,0,the proposed amendment contained in A/C.3/73/L.61,rejected,20,105,37,20,105,37,1
73-SR55-2,73,A/C.3/73/SR.55,55,20 November 2018,amendment,A/C.3/73/L.26/Rev.1,subject,1,"the oral amendment to paragraph 21 of draft resolution A/C.3/73/L.26/Rev.1, as orally revised",rejected,11,74,81,11,74,81,1
74-SR43-1,74,A/C.3/74/SR.43,43,5 November 2019,motion,,,0,the motion to suspend the meeting under rule 118,rejected,18,88,37,18,88,37,1
74-SR43-2,74,A/C.3/74/SR.43,43,5 November 2019,motion,A/C.3/74/L.1,context,0,the appeal against the ruling of the Chair,rejected,13,89,36,13,89,36,1
74-SR43-3,74,A/C.3/74/SR.43,43,5 November 2019,motion,A/C.3/74/L.1,context,0,the motion to consider the draft resolution on the situation of human rights in the Syrian Arab Republic,adopted,91,19,40,91,19,40,1
74-SR44-1,74,A/C.3/74/SR.44,44,7 November 2019,draft,A/C.3/74/L.56,subject,0,draft resolution A/C.3/74/L.56,adopted,115,4,60,115,4,60,1
74-SR44-2,74,A/C.3/74/SR.44,44,7 November 2019,draft,A/C.3/74/L.62,subject,0,draft resolution A/C.3/74/L.62,adopted,121,2,55,121,2,55,1
74-SR45-1,74,A/C.3/74/SR.45,45,14 November 2019,draft,A/C.3/74/L.27,subject,0,draft resolution A/C.3/74/L.27,adopted,84,30,66,84,30,66,1
74-SR45-2,74,A/C.3/74/SR.45,45,14 November 2019,draft,A/C.3/74/L.28,subject,0,draft resolution A/C.3/74/L.28,adopted,67,23,82,67,23,82,1
74-SR45-3,74,A/C.3/74/SR.45,45,14 November 2019,draft,A/C.3/74/L.29,subject,0,draft resolution A/C.3/74/L.29,adopted,140,9,32,140,9,32,1
74-SR46-1,74,A/C.3/74/SR.46,46,14 November 2019,draft,A/C.3/74/L.30/Rev.1,subject,0,draft resolution A/C.3/74/L.30/Rev.1,adopted,106,15,58,106,15,58,1
74-SR47-1,74,A/C.3/74/SR.47,47,15 November 2019,draft,A/C.3/74/L.59,subject,0,draft resolution A/C.3/74/L.59,adopted,169,2,5,169,2,5,1
74-SR47-2,74,A/C.3/74/SR.47,47,15 November 2019,draft,A/C.3/74/L.53/Rev.1,subject,0,draft resolution A/C.3/74/L.53/Rev.1,adopted,176,1,2,176,1,2,1
74-SR49-1,74,A/C.3/74/SR.49,49,18 November 2019,amendment,A/C.3/74/L.64,subject,0,the proposed amendment contained in A/C.3/74/L.64,rejected,31,100,29,31,100,29,1
74-SR49-2,74,A/C.3/74/SR.49,49,18 November 2019,paragraph,A/C.3/74/L.21/Rev.1,subject,1,"paragraph 13 of draft resolution A/C.3/74/L.21/Rev.1, as orally revised",adopted,131,10,16,131,10,16,1
74-SR49-3,74,A/C.3/74/SR.49,49,18 November 2019,draft,A/C.3/74/L.36,subject,0,draft resolution A/C.3/74/L.36,adopted,127,51,7,127,51,7,1
74-SR49-4,74,A/C.3/74/SR.49,49,18 November 2019,draft,A/C.3/74/L.37/Rev.1,subject,0,draft resolution A/C.3/74/L.37/Rev.1,adopted,185,2,0,185,2,0,1
74-SR49-5,74,A/C.3/74/SR.49,49,18 November 2019,draft,A/C.3/74/L.38,subject,0,draft resolution A/C.3/74/L.38,adopted,125,53,9,125,53,9,1
74-SR49-6,74,A/C.3/74/SR.49,49,18 November 2019,draft,A/C.3/74/L.40/Rev.1,subject,0,draft resolution A/C.3/74/L.40/Rev.1,adopted,137,24,26,137,24,26,1
74-SR50-1,74,A/C.3/74/SR.50,50,18 November 2019,draft,A/C.3/74/L.42,subject,0,draft resolution A/C.3/74/L.42,adopted,126,55,0,126,55,0,1
74-SR50-2,74,A/C.3/74/SR.50,50,18 November 2019,draft,A/C.3/74/L.43,subject,0,draft resolution A/C.3/74/L.43,adopted,130,52,1,130,52,1,1
74-SR50-3,74,A/C.3/74/SR.50,50,18 November 2019,draft,A/C.3/74/L.47/Rev.1,subject,0,draft resolution A/C.3/74/L.47/Rev.1,adopted,131,55,0,131,55,0,1
74-SR50-4,74,A/C.3/74/SR.50,50,18 November 2019,draft,A/C.3/74/L.11/Rev.1,subject,0,draft resolution A/C.3/74/L.11/Rev.1,adopted,88,58,34,88,58,34,1
74-SR51-1,74,A/C.3/74/SR.51,51,19 November 2019,amendment,A/C.3/74/L.66,subject,0,the proposed amendment contained in document A/C.3/74/L.66,rejected,26,103,25,26,103,25,1
74-SR51-2,74,A/C.3/74/SR.51,51,19 November 2019,amendment,A/C.3/74/L.67,subject,1,"the proposed amendments contained in document A/C.3/74/L.67, as orally revised",rejected,24,108,26,24,108,26,1
74-SR51-3,74,A/C.3/74/SR.51,51,19 November 2019,paragraph,A/C.3/74/L.8/Rev.1,subject,0,"the proposal to retain paragraphs 10, 12 and 13 of draft resolution A/C.3/74/L.8/Rev.1",adopted,134,17,10,134,17,10,1
74-SR51-4,74,A/C.3/74/SR.51,51,19 November 2019,draft,A/C.3/74/L.12/Rev.1,subject,0,draft resolution A/C.3/74/L.12/Rev.1,adopted,183,2,0,183,2,0,1
74-SR51-5,74,A/C.3/74/SR.51,51,19 November 2019,draft,A/C.3/74/L.60/Rev.1,subject,0,draft resolution A/C.3/74/L.60/Rev.1,adopted,131,10,44,131,10,44,1
74-SR51-6,74,A/C.3/74/SR.51,51,19 November 2019,draft,A/C.3/74/L.58,subject,0,draft resolution A/C.3/74/L.58,adopted,164,5,9,164,5,9,1
74-SR52-1,74,A/C.3/74/SR.52,52,19 November 2019,amendment,A/C.3/74/L.63,subject,0,the amendment contained in document A/C.3/74/L.63,rejected,26,95,32,26,95,32,1
75-SR7-1,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.72,subject,1,"the proposal contained in document A/C.3/75/L.72 to amend paragraph 6 of draft resolution A/C.3/75/L.6/Rev.1, as orally revised",rejected,10,134,17,10,134,17,1
75-SR7-2,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.76,subject,0,the proposal contained in document A/C.3/75/L.76 to amend preambular paragraph 22 of draft resolution A/C.3/75/L.6/Rev.1,rejected,2,161,5,2,161,5,1
75-SR7-3,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.55,subject,0,the proposal contained in document A/C.3/75/L.55 to amend preambular paragraph 2 of draft resolution A/C.3/75/L.13/Rev.1,rejected,33,85,37,33,85,37,1
75-SR7-4,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.56,subject,0,the proposal contained in document A/C.3/75/L.56 to amend paragraph 13 of draft resolution A/C.3/75/L.13/Rev.1,rejected,28,93,37,28,93,37,1
75-SR7-5,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.57,subject,0,the proposal contained in document A/C.3/75/L.57 to amend paragraph 1 of draft resolution A/C.3/75/L.13/Rev.1,rejected,29,96,32,29,96,32,1
75-SR7-6,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.58,subject,0,the proposal contained in document A/C.3/75/L.58 to amend paragraph 3 of draft resolution A/C.3/75/L.13/Rev.1,rejected,24,96,33,24,96,33,1
75-SR7-7,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.66,subject,0,the proposal contained in document A/C.3/75/L.66 to amend paragraph 7 of draft resolution A/C.3/75/L.13/Rev.1,rejected,13,111,29,13,111,29,1
75-SR7-8,75,A/C.3/75/SR.7,7,13 November 2020,paragraph,A/C.3/75/L.67,subject,0,the proposal contained in document A/C.3/75/L.67 to amend paragraph 8 of draft resolution A/C.3/75/L.13/Rev.1,rejected,24,103,29,24,103,29,1
75-SR8-1,75,A/C.3/75/SR.8,8,16 November 2020,paragraph,A/C.3/75/L.68,subject,0,the proposal contained in document A/C.3/75/L.68 to amend paragraph 31 of draft resolution A/C.3/75/L.14,rejected,9,120,28,9,120,28,1
75-SR8-2,75,A/C.3/75/SR.8,8,16 November 2020,paragraph,A/C.3/75/L.77,subject,0,the proposal contained in document A/C.3/75/L.77 to amend the twenty-sixth preambular paragraph of draft resolution A/C.3/75/L.18/Rev.1,rejected,20,109,31,20,109,31,1
75-SR8-3,75,A/C.3/75/SR.8,8,16 November 2020,paragraph,A/C.3/75/L.78,subject,0,the proposal contained in document A/C.3/75/L.78 to amend the twenty-seventh preambular paragraph of draft resolution A/C.3/75/L.18/Rev.1,rejected,21,111,29,21,111,29,1
75-SR8-4,75,A/C.3/75/SR.8,8,16 November 2020,paragraph,A/C.3/75/L.79,subject,0,the proposal contained in document A/C.3/75/L.79 to amend paragraph 22 of draft resolution A/C.3/75/L.18/Rev.1,rejected,26,105,30,26,105,30,1
75-SR8-5,75,A/C.3/75/SR.8,8,16 November 2020,paragraph,A/C.3/75/L.80,subject,0,the proposal contained in document A/C.3/75/L.80 to amend paragraph 23 of draft resolution A/C.3/75/L.18/Rev.1,rejected,29,101,34,29,101,34,1
